Activity Date,Activity Name,Activity ID,Type,Equipment,Distance,Total Time,Moving Time,Avg Speed,Max Speed,Avg Power,Elevation Gain,Avg Grade,Kudos,Comments,Photos,Riders,Commute,Trainer,Description,num
"Jul 25, 2016 6:31 PM",Evening Ride,3403422370,Ride,,6.45,00:31:41,00:31:16,12.4,17.2,70.6,109,16.8,0,0,0,1,,,,4
"Mar 9, 2019 6:20 PM",Evening Ride,3388549678,Ride,,6.14,00:32:27,00:32:27,11.3,18.8,107.3,161,26.3,0,0,0,1,,,,5
"Sep 10, 2020 6:36 PM",Evening Ride,4042038095,Ride,,8.97,00:32:44,00:32:44,16.4,24.6,164.6,102,11.3,0,0,0,1,Commute,,,6
"Mar 30, 2019 6:15 PM",Evening Ride,3388553642,Ride,,4.07,00:33:29,00:32:19,7.6,18.3,105.3,161,39.7,0,0,0,1,,,,7
"Mar 27, 2019 6:47 PM",Evening Ride,3388553623,Ride,,3.01,00:33:49,00:31:04,5.8,20.1,108.1,119,39.6,0,0,0,1,,,,8
"Sep 28, 2020 6:00 PM",Evening Ride,4126283860,Ride,,8.74,00:34:58,00:32:13,16.3,22.8,164,135,15.4,0,0,0,1,,,,9
"Oct 1, 2020 6:22 PM",Evening Ride,4139629467,Ride,,9.11,00:35:41,00:35:41,15.3,23.3,147.9,92,10.1,0,0,0,1,Commute,,,10
"May 6, 2019 6:20 PM",Evening Ride,2347818757,Ride,,5.67,00:40:35,00:40:35,8.4,31.5,0,1140,201.1,0,0,0,1,,,,11
"Apr 30, 2019 6:06 PM",Evening Ride,2332001244,Ride,,6.35,01:02:14,00:59:51,6.4,22.4,0,1406,221.4,0,0,0,1,,,,12
"May 28, 2019 6:46 PM",Evening Ride,2405408265,Ride,,16.86,01:04:09,01:00:58,16.6,31.8,0,316,18.8,0,0,0,1,,,,13
"Jun 3, 2019 6:33 PM",Evening Ride,2421701578,Ride,,21.27,01:21:40,01:17:01,16.6,32.7,0,657,30.9,0,0,0,1,,,,14
"Apr 22, 2019 6:22 PM",Evening Ride,2311540996,Ride,,8.11,01:23:41,01:12:15,6.7,19.5,0,1478,182.3,0,0,0,1,,,,15
"May 26, 2019 6:45 PM",Evening Ride,2400444909,Ride,,18.21,01:54:45,01:35:31,11.4,23.7,0,580,31.8,0,0,0,1,,,,16
"Apr 6, 2020 7:21 PM",Evening Ride,3264884626,Ride,,10.83,02:01:22,01:47:50,6,19.2,0,2056,189.9,0,0,0,2,,,,17
"Jun 9, 2019 7:48 PM",Evening Run,2438032426,Run,,0.99,00:07:33,00:07:27,8,10.5,0,22,22.5,0,0,0,1,,,,
"Aug 17, 2016 6:10 PM",Evening Run,3403422163,Run,,1.55,00:12:27,00:12:21,7.5,8.3,0,18,11.4,0,0,0,1,,,,1
"Aug 17, 2016 6:34 PM",Evening Run,3403422223,Run,,1.23,00:15:48,00:15:30,4.8,9.6,0,0,0,0,0,0,1,,,,2
"Jul 20, 2016 7:50 PM",Evening Run,3403422297,Run,,1.88,00:19:50,00:19:39,5.7,7.6,0,18,9.4,0,0,0,1,,,,3
"Jun 9, 2019 7:21 PM",Evening Run,2438032451,Run,,3,00:26:15,00:26:09,6.9,19.2,0,79,26.3,0,0,0,1,,,,4
"Apr 29, 2019 7:06 PM",Evening Run,2329452146,Run,,2.99,00:28:11,00:27:27,6.5,11.2,0,125,41.9,0,0,0,1,,,,5
"Mar 13, 2019 7:34 PM",Evening Run,3388549688,Run,,2.84,00:29:16,00:29:13,5.8,8.7,0,102,35.8,0,0,0,1,,,,6
"Mar 21, 2020 6:01 PM",Evening Run,3205294354,Run,,3.04,00:29:39,00:29:29,6.2,8.1,0,189,62.2,0,0,0,1,,,,7
"Jun 10, 2019 6:11 PM",Evening Run,2440441934,Run,,3.74,00:29:44,00:29:40,7.6,15,0,94,25.1,0,0,0,1,,,,8
"Jun 13, 2019 6:57 PM",Evening Run,2448250405,Run,,3.65,00:30:31,00:30:28,7.2,18.8,0,106,28.9,0,0,0,1,,,,9
"Sep 16, 2019 6:16 PM",Evening Run,2715200028,Run,,3.92,00:30:48,00:30:41,7.7,10.5,0,83,21.2,1,0,0,1,,,,10
"Jun 11, 2019 6:31 PM",Evening Run,2443134477,Run,,3.93,00:31:40,00:31:40,7.4,16.6,0,106,26.9,0,0,0,1,,,,11
"Jun 6, 2019 7:28 PM",Evening Run,2429864285,Run,,3.81,00:32:04,00:32:04,7.1,10.1,0,94,24.8,0,0,0,1,,,,12
"Mar 26, 2019 6:42 PM",Evening Run,3388553638,Run,,3.35,00:32:50,00:32:29,6.2,10.3,0,81,24.3,0,0,0,1,,,,13
"May 29, 2019 6:43 PM",Evening Run,2407883475,Run,,3.31,00:32:58,00:32:48,6.1,9.2,0,95,28.8,0,0,0,1,,,,14
"Jul 29, 2019 6:23 PM",Evening Run,2574317843,Run,,3.92,00:33:16,00:33:16,7.1,11,0,95,24.3,1,1,0,1,,,,15
"Jun 17, 2019 7:22 PM",Evening Run,2459075448,Run,,3.98,00:33:28,00:33:07,7.2,9.8,0,93,23.2,0,0,0,1,,,,16
"Jun 5, 2019 7:18 PM",Evening Run,2428246462,Run,,3.33,00:34:06,00:33:43,5.9,10.7,0,142,42.7,0,0,0,1,,,,17
"Jun 2, 2019 7:34 PM",Evening Run,2419225997,Run,,3.81,00:34:51,00:34:47,6.6,9.8,0,109,28.6,0,0,0,1,,,,18
"Aug 5, 2019 6:42 PM",Evening Run,2594415895,Run,,4.02,00:37:11,00:37:11,6.5,9.4,0,310,77.2,0,0,0,1,,,,19
"Aug 6, 2019 7:11 PM",Evening Run,2597469030,Run,,4.31,00:38:11,00:38:08,6.8,10.7,0,343,79.5,1,0,0,1,,,,20
"Mar 20, 2019 6:55 PM",Evening Run,3388553646,Run,,4.02,00:39:40,00:39:32,6.1,10.7,0,120,29.9,0,0,0,1,,,,21
"Aug 13, 2019 6:28 PM",Evening Run,2617124082,Run,,5.09,00:51:45,00:50:59,6,15.7,0,584,114.8,0,0,0,1,,,,22
"Aug 16, 2016 6:06 PM",Evening Run,3403422521,Hike,,3.27,00:56:58,00:55:32,3.5,7.2,0,53,16.2,0,0,0,1,,,,23
"Aug 20, 2019 6:26 PM",Evening Run,2637075673,Run,,6.98,01:02:59,01:02:50,6.7,10.3,0,569,81.5,1,0,0,1,,,,24
"May 24, 2020 8:55 AM",Fairview Mountain Ford Creek Plateau,3507650220,Hike,,16.7,13:23:46,04:47:24,3.5,31.1,0,7087,424.3,1,0,5,2,,,,
"Apr 10, 2020 1:19 PM",First half marathon!,3281763238,Run,,14.47,02:33:18,02:33:11,5.7,11.2,0,1918,132.5,2,0,0,1,,,,
"Aug 2, 2019 8:09 AM",Flinsch Peak Climb,2585598763,Hike,,14.07,08:10:51,05:41:54,2.5,8.1,0,4493,319.3,3,0,2,1,,,"To anyone who wants to re-create this route: bring a diaper, you're gonna need one. ",
"Jul 8, 2020 5:41 AM",Grant Creek Headwall,3734037178,Hike,,16.83,07:15:53,06:13:00,2.7,5.8,0,7869,467.5,2,0,5,1,,,,
"Jul 13, 2019 9:37 AM",Great Northern,2529642110,Hike,,8.52,05:15:43,03:53:18,2.2,7.8,0,5217,612.5,0,0,3,1,,,,
"May 1, 2020 11:01 AM",Kootenai Creek,3381848124,Run,,13.16,03:36:24,02:42:48,4.8,12.3,0,2600,197.6,3,0,2,1,,,,
"Jun 11, 2020 9:27 AM",Little Belt Day 1,3604928770,Hike,,14.79,05:45:59,05:13:21,2.8,6.9,0,2165,146.4,3,0,3,1,,,,
"Jun 12, 2020 8:01 AM",Little Belt Day 2 Leg 1,3604931922,Hike,,7.62,03:19:01,03:06:38,2.4,7.2,0,3327,436.7,3,0,4,1,,,,
"Jun 12, 2020 11:45 AM",Little Belt Day 2 Leg 2,3604932995,Hike,,9.72,03:47:00,03:29:58,2.8,6.9,0,1601,164.7,2,0,2,1,,,,
"Aug 14, 2020 7:28 AM",Little Tin Cup,3913621400,Hike,,10.55,08:41:50,05:01:12,2.1,7.8,0,5597,530.6,2,2,4,1,,,,
"Jul 10, 2020 9:28 AM",Lolo Peak,3742922254,Hike,,13.36,05:36:56,04:42:43,2.8,9.6,0,4678,350.3,1,0,3,1,,,,
"Jun 29, 2019 11:23 AM",Lunch Activity,2496525893,StandUpPaddling,,18.94,06:59:26,03:10:31,6,14.5,0,1607,84.9,0,0,0,1,,,,
"Mar 10, 2020 11:13 AM",Lunch Hike,3171801396,Hike,,0.47,00:18:44,00:17:25,1.6,4.9,0,761,1603.4,1,0,0,1,,,,
"May 15, 2019 12:52 PM",Lunch Hike,2371064227,Hike,,2.02,00:52:57,00:50:27,2.4,6.7,0,536,265.6,0,0,0,1,,,,1
"May 15, 2019 11:51 AM",Lunch Hike,2371064107,Hike,,0.95,00:58:58,00:42:35,1.3,6.3,0,311,328.2,0,0,0,1,,,,2
"May 8, 2019 11:04 AM",Lunch Hike,2353740161,Hike,,1.61,01:09:21,00:49:40,1.9,11.6,0,131,81.3,0,0,0,1,,,,3
"Nov 30, 2020 12:11 PM",Lunch Hike,4413287151,Hike,,4.52,01:15:45,01:14:36,3.6,6.7,0,1581,349.7,1,0,0,1,,,,4
"Mar 11, 2020 11:11 AM",Lunch Hike,3174924247,Hike,,3.68,01:16:02,01:16:02,2.9,8.1,0,1949,530,0,0,0,1,,,,5
"Mar 3, 2020 12:36 PM",Lunch Hike,3151701717,Hike,,4.54,01:19:21,01:18:30,3.5,6.3,0,1060,233.4,1,0,0,1,,,,6
"Nov 26, 2020 11:54 AM",Lunch Hike,4395016094,Hike,,4.6,01:19:30,01:19:30,3.5,6.9,0,1654,359.8,2,0,0,1,,,,7
"Nov 29, 2020 11:54 AM",Lunch Hike,4409510770,Hike,,4.56,01:22:00,01:21:45,3.3,7.4,0,1562,342.2,1,0,0,1,,,,8
"Mar 1, 2020 12:20 PM",Lunch Hike,3146614538,Hike,,4.67,01:24:11,01:23:43,3.3,5.8,0,972,208.4,0,0,0,1,,,,9
"Dec 19, 2020 11:56 AM",Lunch Hike,4492776115,Hike,,4.28,01:30:12,01:27:15,2.9,6.7,0,2133,498.7,0,0,0,1,,,,10
"Dec 9, 2020 11:58 AM",Lunch Hike,4451725927,Hike,,4.25,01:31:05,01:31:05,2.8,5.8,0,2106,495.3,1,0,0,1,,,,11
